"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Indiv"
"grm4._74.1",0.209985906962822,-0.00568469790504715,0.0296402423603728,-0.0658662502306867,0.0292043431235298,0.0847982562592505,"SA18-CB-4-FG3xSA18-CB-4-MG3"
"grm4._75.1",-0.321253414341575,-0.00193774353562317,-0.128267674009415,-0.00924028450883539,-0.014674812876255,0.12192568216557,"SL18-LD-1-FG3xSL18-NL-9-MG2"
"grm4._76.1",0.113121372007314,0.00920502978785306,0.0433102708686861,-0.00817478922714065,0.0631991469553008,0.0397512233503362,"SL18-LD-1-FG3xSL18-OI-15-MG2"
"grm4._77.1",-0.0238738674153613,-0.0160307025855391,0.0354344196092625,-0.0366058508180415,0.0415790612021563,0.297816320732136,"SL18-LD-2-FG2xSA18-CB-3-MG3"
"grm4._78.1",-0.320451517852872,-0.0113884235723128,-0.102813392999619,0.00768162651658595,-0.00673091271819369,0.209995553677849,"SL18-LD-2-FG2xSL18-LL-9-MG2"
"grm4._79.1",-0.556827829036653,-0.0133927740160274,-0.161003970380125,-0.0111174812955866,-0.0450625832002241,0.244785489588767,"SL18-LD-2-FG2xSL18-NL-9-MG1"
"grm4._80.1",-0.431629520854771,-0.0118135913960895,-0.0720856152896007,0.00603397093321012,-0.0603531169857426,0.115042462718366,"SL18-LD-2-FG2xSL18-SF-19-MG1"
"grm4._81.1",-0.424299883726542,-0.00826425239645546,-0.173781474163037,-0.00944161711134103,-0.0235507054828914,0.230944386429363,"SL18-LD-3-FG1xSL18-NL-9-MG1"
"grm4._82.1",0.0329515061033676,-0.00257478697104672,-0.00921373327621263,0.00122406280704358,0.0112916100557184,0.091628583521847,"SL18-LD-3-FG1xSL18-SF-19-MG2"
"grm4._83.1",0.0897908101318619,0.00577327171129562,0.00843091841951257,-0.00454480910249271,0.0359033342141687,0.0232919076565112,"SL18-LD-3-FG2xSA18-CB-2-MG3"
"grm4._84.1",-6.58613071225712e-05,-0.00166883174735635,-0.0486739797381044,-0.000163757028922746,0.017973137179484,0.0139282013451052,"SL18-LD-3-FG2xSL18-LL-9-MG2"
"grm4._85.1",0.0407442028344725,0.00399747268897979,-0.00143147556504561,-0.000932690915260408,0.0326790528634318,0.102141194466761,"SL18-LD-3-FG2xSL18-SF-17-MG3"
"grm4._86.1",-0.0345717810745714,0.000614111519088832,-0.0361377050126817,-0.0119138004191146,0.0311347857383805,0.0177119541358075,"SL18-LD-4-FG1xSA18-CB-2-MG1"
"grm4._87.1",-0.309938260272771,-0.00928414899741724,-0.146286983807256,-0.0300978156099107,-0.0212102506524713,0.0615089929291289,"SL18-LD-4-FG1xSL18-NL-3-MG2"
"grm4._88.1",-0.41912642423211,-0.00686565283673819,-0.162772889114353,-0.00597490560756114,0.0200576913500209,0.313183855110123,"SL18-LD-4-FG2xSL18-LL-9-MG1"
"grm4._89.1",0.20807175241303,0.0050010399728401,0.0495034711935623,-0.0107216335045332,0.0189193320787257,0.0180989657299315,"SL18-LD-4-FG2xSL18-SF-15-MG2"
"grm4._90.1",0.0364962695983459,-0.000416059522295759,0.031364776053068,0.00258034949747163,0.0337945115173248,0.236691237900627,"SL18-LD-4-FG3xSL18-SF-17-MG1"
"grm4._91.1",0.0995466073743654,0.00809490008519693,0.0490704771329543,-0.0125707197559757,0.104779573279466,0.159039706656969,"SL18-LD-5-FG1xSA18-CB-10-MG1"
"grm4._92.1",0.206254795762198,0.00617476926134694,0.111804805212187,-0.0478257458524411,0.0505457363846512,0.171684172290712,"SA18-CB-7-FG1xSL18-LL-9-MG3"
"grm4._93.1",-0.306400856200545,-0.00433106260096449,-0.0976152517610196,-0.00326822922868196,-0.00673053994150826,0.341315182823079,"SL18-LD-9-FG2xSL18-SF-13-MG3"
"grm4._94.1",-0.311426381445958,-0.00540229205257216,-0.0952678145416033,0.0121933378036481,-0.0236285566849879,0.32451304806102,"SL18-LD-9-FG3xSL18-NL-7-MG1"
"grm4._95.1",0.0690660646781269,-0.00339019505446669,0.0523221201125294,0.016770988030597,0.0341465970586221,0.303540978931493,"SL18-LD-9-FG3xSL18-SF-17-MG1"
"grm4._96.1",-0.59811836732775,-0.00894397920856008,-0.167745402666465,0.00187232292693103,-0.0187915642739635,0.264220615344688,"SL18-LL-9-FG3xSL18-NL-9-MG1"
"grm4._97.1",0.175585555291439,-0.00522195649430304,-0.00173648253065163,-0.0513521908740139,-0.0247911629692756,-0.115470317312496,"SL18-NL-10-FG1xSA18-CB-4-MG3"
"grm4._98.1",-0.16806497382446,-0.00396737865703119,-0.0654991337956524,-0.0175424180420949,-0.0165661616773632,-0.0830588306362499,"SL18-NL-10-FG1xSL18-LD-2-MG1"
"grm4._99.1",0.202576313807553,0.00139453663775229,0.0884862651509266,-0.026551025950288,0.0128611227000672,-0.117094618581044,"SL18-LD-10-FG1xSA18-CB-1-MG2"
"grm4._100.1",0.35101972492115,0.00538016090122353,0.110948403672709,-0.046889356643572,-0.0121773340861446,-0.223117129083152,"SL18-NL-10-FG1xSL18-OI-15-MG1"
"grm4._101.1",0.168881500433808,-0.00337466184392706,0.0268197823635897,-0.0147542776757686,-0.00937018665287006,-0.304245684405434,"SL18-NL-10-FG1xSL18-OI-7-MG1"
"grm4._102.1",0.32399354952974,0.00131667381412845,0.103908956366508,0.00905200467274444,0.0181712711313382,-0.141699792637878,"SL18-NL-10-FG1xSL18-SF-13-MG1"
"grm4._103.1",-0.548129840207292,-0.0102239497282706,-0.179394294824956,-0.0310042980154732,-0.0523324365337862,0.017472538441013,"SL18-NL-10-FG3xSL18-NL-3-MG2"
"grm4._104.1",0.233076503299028,-0.000743611213321326,0.12659875494926,-0.0192572818299171,-0.0216467642898998,-0.190482102427401,"SL18-NL-2-FG1xSA18-CB-1-MG2"
"grm4._105.1",-0.0917357019223356,-0.00540455740694972,0.017149232133718,0.0131710521847006,-0.0596011525948967,-0.105245653468115,"SL18-NL-2-FG1xSL18-LD-13-MG2"
"grm4._106.1",0.102499134552882,-0.00318501283177771,0.0978154168809504,0.00836723332760107,-0.000267751591589583,0.0766427880627508,"SL18-NL-2-FG1xSL18-SF-17-MG1"
"grm4._107.1",-0.22548635634869,0.0028234134177457,-0.086930593129167,0.00202335886980611,-0.028347414698829,0.127697004733537,"SL18-NL-2-FG3xSA18-CB-2-MG3"
"grm4._108.1",-0.25080246807148,-0.00148364971918833,-0.10603240853644,-0.0285185329094948,-0.062095244568889,0.0574738897258712,"SL18-NL-2-FG3xSA18-CB-4-MG1"
"grm4._109.1",-0.303889085917025,-0.00146897145949029,-0.139342542732663,-0.00893639962455597,-0.0456904863501963,0.112068145113226,"SL18-NL-2-FG3xSL18-LD-3-MG2"
"grm4._110.1",-0.300489211425197,0.00742046494300454,-0.127688652283645,0.0329721763190658,-0.122876414181123,-0.0480167740214373,"SL18-NL-2-FG3xSL18-OI-16-MG1"
"grm4._111.1",0.0925745346227646,-0.00818780442882415,0.110896845164282,-0.036966923623449,0.00133122108408281,0.0453673556830183,"SL18-NL-3-FG1xSA18-CB-7-MG2"
"grm4._112.1",-0.348867554685293,-0.0152489442061015,-0.089883780857785,-0.0134748525376221,-0.0701936456081318,-0.0479470861492878,"SL18-NL-3-FG1xSL18-OI-11-MG2"
"grm4._113.1",-0.0546994405042633,-0.0151185312605215,0.0169157482305272,-0.0200636008818713,-0.0405425035876927,0.0314475971697521,"SL18-NL-3-FG1xSL18-SF-13-MG2"
"grm4._114.1",0.386819636924208,-0.00280325183869288,0.113916564706002,-0.0453293420975732,0.00356237779951841,0.00898422240843273,"SL18-NL-3-FG2xSL18-SF-17-MG2"
"grm4._115.1",0.0741653177066318,-0.00455480345620574,0.0304316911418238,-0.0249369616675875,0.0209490530658415,0.0178350388105737,"SL18-NL-3-FG3xSA18-CB-2-MG2"
"grm4._116.1",-0.223046510229444,0.00357260137830286,-0.0482960455592058,0.00936146985415767,-0.0145716983418368,0.0850071144081993,"SL18-LD-10-FG1xSL18-OI-18-MG1"
"grm4._117.1",0.616800950506931,-0.00476535421232458,0.24120205120748,-0.054181784919397,0.0590785639863287,-0.161510858650013,"SL18-NL-6-FG1xSA18-CB-3-MG3"
"grm4._118.1",0.683116019568326,0.00909916242447807,0.323958008029132,-0.0448968770390529,0.0632060976490976,-0.294546443631695,"SL18-NL-6-FG1xSA18-CB-7-MG2"
