"","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Indiv"
"grm4._114",-0.0566695598700145,-0.217965944775403,0.10490353417182,-0.0773675279368758,0.105970187722954,"SL18-NL-3-FG3xSA18-CB-2-MG2"
"grm4._115",-0.102214815775675,0.380267038476868,-0.141407087451549,-0.467004464736893,-0.0227801408041032,"SL18-LD-10-FG1xSL18-OI-18-MG1"
"grm4._116",0.409659608239056,-0.392436212287408,-0.0207730512667136,0.391461370573899,-0.0111655471791724,"SL18-NL-6-FG1xSA18-CB-3-MG3"
"grm4._117",0.326507258057313,-0.495746201727374,0.0137478480331954,0.471529987857378,0.0574151816482397,"SL18-NL-6-FG1xSA18-CB-7-MG2"
"grm4._118",0.0279679386883897,0.341414174759856,-0.129449581096917,0.446396126897294,0.155680195020862,"SL18-NL-6-FG1xSL18-LD-1-MG2"
"grm4._119",-0.378886012475918,-0.134967452173939,-0.0570746524318496,0.276055025650511,0.0599050684065467,"SL18-NL-6-FG1xSL18-LD-2-MG1"
"grm4._120",-0.190664199722022,-0.0450732693530722,-0.100807621889104,0.621017287269453,0.138565920896285,"SL18-NL-6-FG1xSL18-LD-3-MG2"
"grm4._121",-0.132643288276511,-0.270720307960231,0.0644563981723266,0.12996901387236,0.00536035817460506,"SL18-NL-6-FG1xSL18-NL-2-MG1"
"grm4._122",-1.12921637260376e-14,1.01048303072135e-14,2.91209312917221e-16,-5.35847867002738e-16,-2.56142635598321e-16,"SL18-ME-1-FG1xSL18-ME-1-MG1"
"grm4._123",-5.27030511656593e-15,1.82114614178487e-15,-7.11565912743178e-16,4.23973041983136e-15,-1.34798672477472e-15,"SL18-ME-1-FG1xSL18-ME-2-MG2"
"grm4._124",0.0240307684655256,0.244289207457164,-0.0365923976435901,0.135750930563747,0.103700492515605,"SL18-OI-4"
"grm4._125",-0.227901014645152,0.0897707119812877,-0.0782186564058312,-0.309545147222734,-0.187765843591761,"SL18-OI-5"
"grm4._126",0.230408516899353,0.246418677147007,-0.0206034915110507,0.34626115675898,0.104874041729909,"SL18-OI-6"
"grm4._127",0.054929037819878,0.399601670327021,0.0408561806612991,0.0371770943239614,0.12451183756017,"SL18-OI-11"
"grm4._128",0.222353217683663,0.157838815624872,-0.0344801249827964,0.454292022367738,0.119721873108196,"SL18-OI-15"
"grm4._129",-0.223324709451119,-0.244436405083071,-0.0234772953583421,-0.094086877406847,-0.150795624633553,"SL18-OI-16"
"grm4._130",-0.063627225919591,0.120198339016336,-0.132386767630081,-0.066928581444908,0.0328382429271777,"SL18-OI-17"
"grm4._131",-0.0214294964688981,0.176503816426072,-0.0493342669002468,-0.621367392329044,-0.142228668013887,"SL18-OI-18"
"grm4._132",-0.162698488454255,0.326975204424675,-0.123956582752758,0.567292549523674,0.103374741719154,"SL18-LD-1"
"grm4._133",0.0229267992811455,0.364485825742451,-0.0567141253425231,0.490498030783437,0.137625801887636,"SL18-LD-3"
"grm4._134",0.0882961203060177,0.161275130487046,0.0153842332943949,0.528232841767792,0.157613934169229,"SL18-LD-4"
"grm4._135",-0.330276681395452,0.355453089498905,-0.0516161809950658,-0.0820306738696641,-0.00265945748695722,"SL18-LD-5"
"grm4._136",-0.0664425913018676,0.335872594139388,-0.0397121533685176,0.357630300072796,0.203096635812075,"SL18-LD-9"
"grm4._137",-0.116451593007344,0.146932382917018,-0.0674584165119592,0.716204274100919,0.280948832481556,"SL18-LD-10"
"grm4._138",-0.218205994037044,0.0522720769447442,-0.0242282209143317,0.423343209355695,0.130766982969326,"SL18-LD-13"
"grm4._139",0.131563261408612,-0.0208493236689278,0.0062984201706033,0.144981490545918,0.0469622208638128,"SL18-FW-2"
"grm4._140",0.147650016690302,-0.0357597159383113,0.0047978854280786,0.188136466829023,0.0470457319368422,"SL18-FI-1"
"grm4._141",0.147742945904732,-0.0321107321985715,0.00176773212544428,0.164568529852111,0.0422881648456866,"SL18-FI-2"
"grm4._142",-0.108114366175994,-0.0915950448866375,0.00642402053869721,-0.201459040481735,-0.0266213372892906,"SL18-CC-1"
"grm4._143",-0.0395255466150936,-0.223906259403961,0.0115767999786483,0.119406741189881,0.0847374827458937,"SL18-CC-2"
"grm4._144",0.0819614849266074,0.0539198090472268,0.0316300361707081,-0.0654560403153225,0.0349902800303922,"SL18-CC-3"
"grm4._145",-0.12864628251622,-0.12296771661028,-0.00428854022198897,-0.0609835427214925,-0.0423148340966754,"SL18-CC-4"
"grm4._146",0.0913655038732915,0.0323616268687717,0.0768348802263349,-0.0566817861565064,0.0678782539634952,"SL18-CC-5"
"grm4._147",0.0290820111485783,-0.138080310862275,0.0198444224525032,-0.177138716159892,-0.0213096831847884,"SL18-CC-6"
"grm4._148",-0.0521448387957035,-0.109141289414101,0.0291869073038278,0.0807682122613623,0.0943367638103908,"SL18-CC-7"
"grm4._149",0.0676892577194924,0.0948455776654249,0.0223738488614818,0.0442240772287434,0.0631479254886826,"SL18-CC-8"
"grm4._150",-0.0202820302796447,-0.00854349244279493,-0.00140718221675466,0.0803922034082355,0.0589930459221106,"SL18-CC-9"
"grm4._151",0.198963864963972,0.163532933207492,0.0399876831370888,0.153383437638488,0.0398835893510689,"SL18-CC-12"
"grm4._152",0.149302866889777,-0.016078292088119,0.00798310003218824,0.122775658768813,0.0404184285670165,"SL18-FW-14"
"grm4._153",0.0451321316573968,0.213804073911635,0.0450245896635905,0.0676331516151663,0.0678311255559208,"SL18-NC-2"
